web-scraper-order,web-scraper-start-url,categories,categories-href,openindiv,openindiv-href,pricinglink,pricinglink-href,Current_Price,Depreciation,Down_Payment,Installment,Road_Tax,OMV,ARF,VES,Vehicle Name,specslink,specslink-href,eng_cap,engine_type,top_speed,Fuel_consumption,tank_cap,veh_type,featureslink,featureslink-href,KeylessEntry,AutoWipers,AutoHeadlights,PaddleShift,ElectricPBrake,SmartKey,RemoteBoot,ElectricSeat,ReverseCam,Power
"1600870364-21","https://www.sgcarmart.com/new_cars/index.php","Volkswagen","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Volkswagen","Volkswagen Touran","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11912","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11912","null","null","null","null","null","null","null","null","Volkswagen Touran","null","","","","","","","","","","","","","","","","","","",""
"1600872787-388","https://www.sgcarmart.com/new_cars/index.php","Hyundai","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Hyundai","Hyundai Accent","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11617","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11617","null","null","null","null","null","null","null","null","Hyundai Accent","null","","","","","","","","","","","","","","","","","","",""
"1600870900-108","https://www.sgcarmart.com/new_cars/index.php","Ssangyong","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Ssangyong","Ssangyong Tivoli Diesel","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12610","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12610","null","null","null","null","null","null","null","null","Ssangyong Tivoli Diesel","null","","","","","","","","","","","","","","","","","","",""
"1600872850-395","https://www.sgcarmart.com/new_cars/index.php","Honda","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Honda","Honda NSX Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12669","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12669","null","null","null","null","null","null","null","null","Honda NSX Hybrid(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600874334-563","https://www.sgcarmart.com/new_cars/index.php","Audi","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Audi","Audi Q8 Mild Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12380","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12380","null","null","null","null","null","null","null","null","Audi Q8 Mild Hybrid","null","","","","","","","","","","","","","","","","","","",""
"1600873216-439","https://www.sgcarmart.com/new_cars/index.php","Ferrari","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Ferrari","Ferrari 488 Pista","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12751","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12751","null","null","null","null","null","null","null","null","Ferrari 488 Pista(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600872173-296","https://www.sgcarmart.com/new_cars/index.php","Mazda","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mazda","Mazda MX-5","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11744","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11744","null","null","null","null","null","null","null","null","Mazda MX-5(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600870998-122","https://www.sgcarmart.com/new_cars/index.php","SEAT","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=SEAT","SEAT Tarraco","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12461","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12461","null","null","null","null","null","null","null","null","SEAT Tarraco","null","","","","","","","","","","","","","","","","","","",""
"1600870275-7","https://www.sgcarmart.com/new_cars/index.php","Volvo","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Volvo","Volvo S60","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12553","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12553","$190,000","$16,800 /yr","$76,000 (Maximum 60% loan)","$1,621 /mth","$1,176 /yr","$37,674","$44,744","$10,000 (Surcharge)","Volvo S60","T5 R-Design (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12553&Subcode=7188","1,969 cc","4-cylinder in-line 16-valve Turbocharged","240 km/h","13.7 km/L","60 L","Luxury Sedan","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12553&Subcode=7188","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","187kW (251 bhp)"
"1600870936-113","https://www.sgcarmart.com/new_cars/index.php","SKODA","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=SKODA","SKODA Kamiq","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12700","Photos","https://www.sgcarmart.com/new_cars/newcars_photos.php?CarCode=12700","null","","null","","","null","null","null","SKODA Kamiq","null","","","","","","","","","","","","","","","","","","",""
