web-scraper-order,web-scraper-start-url,categories,categories-href,openindiv,openindiv-href,pricinglink,pricinglink-href,Current_Price,Depreciation,Down_Payment,Installment,Road_Tax,OMV,ARF,VES,Vehicle Name,specslink,specslink-href,eng_cap,engine_type,top_speed,Fuel_consumption,tank_cap,veh_type,featureslink,featureslink-href,KeylessEntry,AutoWipers,AutoHeadlights,PaddleShift,ElectricPBrake,SmartKey,RemoteBoot,ElectricSeat,ReverseCam,Power
"1601048996-534","https://www.sgcarmart.com/new_cars/index.php","Bentley","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Bentley","Bentley Flying Spur","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12704","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12704","null","null","null","null","null","null","null","null","Bentley Flying Spur(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12704","5,950 cc","W12 Twin-Turbocharged","333 km/h","6.7 km/L","90 L","Luxury Sedan","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12704&Subcode=7592","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","467kW (626 bhp)"
"1601041098-115","https://www.sgcarmart.com/new_cars/index.php","SKODA","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=SKODA","SKODA Karoq","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12391","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12391","$121,900","$10,900 /yr","$48,760 (Maximum 60% loan)","$1,040 /mth","$684 /yr","$23,639","$25,095","$0","SKODA Karoq","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12391","1,498 cc","4-cylinder 16-valve TSI Turbocharged","203 km/h","17.2 km/L","50 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12391&Subcode=6693","Yes","Unknown","Yes","No","Yes","Yes","Yes","null","Yes","110kW (148 bhp)"
"1601048814-524","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW 2 Series Gran Coupe","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12665","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12665","$168,888","-","-","-","$684 /yr","-","-","$0","BMW 2 Series Gran Coupe","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12665","1,499 cc","3-cylinder in-line TwinPower Turbocharged","215 km/h","16.9 km/L","42 L","Luxury Sedan","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12665&Subcode=7472","Yes","Unknown","Yes","Unknown","Yes","Yes","Unknown","null","Yes","3-cylinder in-line TwinPower Turbocharged"
"1601042256-159","https://www.sgcarmart.com/new_cars/index.php","Porsche","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Porsche","Porsche Cayenne","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12282","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12282","null","null","null","null","null","null","null","null","Porsche Cayenne(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12282","2,995 cc","V6 Turbocharged","245 km/h","10.8 km/L","90 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12282&Subcode=6368","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","250kW (335 bhp)"
"1601042237-158","https://www.sgcarmart.com/new_cars/index.php","Porsche","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Porsche","Porsche 718 Cayman","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12040","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12040","null","null","null","null","null","null","null","null","Porsche 718 Cayman(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12040","2,497 cc","4-cylinder 16-valve horizontally opposed Turbocharged","290 km/h","12.1 km/L","64 L","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12040&Subcode=6574","No","Yes","Yes","Yes","Yes","Yes","Yes","null","Unknown","269kW (361 bhp)"
"1601040551-96","https://www.sgcarmart.com/new_cars/index.php","Subaru","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Subaru","Subaru Outback","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11639","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11639","$140,800","$13,000 /yr","$56,320 (Maximum 60% loan)","$1,201 /mth","$1,798 /yr","$21,464","$22,050","$10,000 (Surcharge)","Subaru Outback","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11639","2,498 cc","4-cylinder 16-valve DOHC Boxer","198 km/h","13.7 km/L","60 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11639&Subcode=6192","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","129kW (173 bhp)"
"1601044357-249","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz CLA-Class 2013","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11390","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11390","null","null","null","null","null","null","null","null","Mercedes-Benz CLA-Class 2013(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11390","1,595 cc","4-cylinder in-line Turbocharged","210 km/h","18.5 km/L","50 L","Luxury Sedan","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11390&Subcode=5432","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","90kW (121 bhp)"
"1601047778-465","https://www.sgcarmart.com/new_cars/index.php","BMW M Series","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW+M+Series","BMW M Series M4 Coupe","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11595","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11595","null","null","null","null","null","null","null","null","BMW M Series M4 Coupe(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11595","2,979 cc","6-cylinder in-line 24-valve TwinPower Turbocharged","250 km/h","12 km/L","60 L","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11595&Subcode=7531","Yes","Yes","Yes","Yes","No","Yes","Yes","null","Yes","6-cylinder in-line 24-valve TwinPower Turbocharged"
"1601045531-320","https://www.sgcarmart.com/new_cars/index.php","Lotus","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Lotus","Lotus Elise","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12549","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12549","$210,000","-","-","-","$976 /yr","-","-","$20,000 (Surcharge)","Lotus Elise","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12549","1,798 cc","4-cylinder in-line 16-valve Supercharged","234 km/h","13.3 km/L","40 L","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12549&Subcode=7145","Yes","No","No","No","No","No","No","null","No","162kW (217 bhp)"
"1601044281-245","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz B-Class","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12470","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12470","null","null","null","null","null","null","null","null","Mercedes-Benz B-Class(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12470","1,332 cc","4-cylinder in-line 16-valve Turbocharged","223 km/h","16.3 km/L","43 L","Hatchback","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12470&Subcode=7034","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","120kW (161 bhp)"
"1601042360-164","https://www.sgcarmart.com/new_cars/index.php","Porsche","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Porsche","Porsche Macan","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12548","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12548","null","null","null","null","null","null","null","null","Porsche Macan(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12548","1,984 cc","4-cylinder in-line Turbocharged","227 km/h","11.2 km/L","65 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12548&Subcode=7141","No","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","185kW (248 bhp)"
"1601045578-323","https://www.sgcarmart.com/new_cars/index.php","Lexus","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Lexus","Lexus RX 450h Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11854","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11854","$375,800","-","$150,320 (Maximum 60% loan)","$3,207 /mth","$3,100 /yr","-","-","$0","Lexus RX 450h Hybrid","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11854","3,456 cc","V6","200 km/h","17.5 km/L","65 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11854&Subcode=7682","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","230kW (308 bhp)"
"1601039492-62","https://www.sgcarmart.com/new_cars/index.php","Toyota","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Toyota","Toyota Harrier 2014","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11474","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11474","null","null","null","null","null","null","null","null","Toyota Harrier 2014(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11474","1,986 cc","4-cylinders in-line DOHC","unknown","16 km/L","60 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11474&Subcode=4397","Yes","No","Yes","No","No","Yes","Yes","null","Yes","111kW (149 bhp)"
